Player,Goals For,Goals Against
GoldenGomez,54,75
niallgbc,23,42
Duggles,52,51
Manatee,104,80
Brandon,76,104
Ondo,48,121
Magnus,67,94
Sleepless,74,86
Tomez,27,30
Ezra,39,26
Shad,42,20
RyanMTR,72,40
K3v,8,14
Keiko,79,90
Phi Sig,108,44
Zona,99,42
KD,47,57
Waffle,63,68
ZeeBee,88,73
knitt_RL,127,73
Sleegi,60,73
Larry The Lizard,52,74
HayDeez,33,26
pwnuspoints,100,45
Reek,69,83
Rushy,119,98
Ricky,105,91
DareMe,64,76
Lil Q,107,70
Primed,67,37
Gus,45,107
notmike,41,64
Sci_Frye,76,81
SSS,57,60
Theevilisback,114,88
Thunderballs,70,56
Kaeso Clarus,39,61
Fluffy_Eagle,89,69
Yeet,116,83
O.G.S.R.,72,44
Lars Newt,29,60
Moosey,96,60
Tyler,100,99
Havinfun85,53,66
Dewy413,117,101
Legend_uh,80,69
Phyrexius,84,99
Xivilai47,62,79
Vandy,138,78
Kend0,82,68
furphy,83,81
Dopenose,50,113
Chunkylover,71,74
Peytoneli,63,81
TruSolja,71,87
Gualbertos,38,57
Fittz,43,42
Bahhbe,38,52
Sypower,76,78
Xequter001,83,70
Void,72,75
Papi,55,76
Galaxy,85,67
Lightning,54,46
british,61,33
Arrogantmeat,84,77
Kiimmmiiii,44,74
B++,66,116
DemonicWool,79,100
Wray,36,29
monotonejones,44,55
ArcaneLizard,115,70
Bazed,77,48
Hunted,90,43
Luke,85,94
Soul,24,39
Redline,21,45
Zuberite,17,14
Dyfferential,35,20
stlnaturals15,78,77
The Big C,52,39
Fllassh,48,47
WolfAlone,65,92
Bandi,75,98
LoneWolf,49,110
Icyymike,93,73
ilikepie2151,32,63
Hermod,58,107
Taels,88,50
Mythonian,118,66
Hotsaucethepirate,62,63
Ryder,89,73
Water,97,75
Crey2k,85,92
ADHD,8,16
Sadomi,68,78
UppercaseOne,75,65
Thunderbug95,85,80
RapidChampion,76,92
Omega,50,57
AtoMic,43,54
OGkrish,82,69
Snowyfeather,73,97
Dolo7,59,73
CHASER,105,73
Jay,49,35
GreatGodZeus,61,51
Hobo1104,77,64
BJOE,86,70
Isaac13003,80,68
Bones,20,10
euronate,110,88
TeaBoneJones,26,38
Luna's Protector,70,39
Jive,9,23
SchellRL,67,40
Rama,85,81
Myzair,23,56
hipster2400,26,17
JUST_LRK,102,56
MikeIsMyIke,82,66
kcscrag,112,55
Walker,87,80
LightningHawk505,33,34
Verics,55,86
1AMRamen,12,29
Krosis,36,70
SINdalu,36,64
MrFranceypantz,12,21
Xo,79,72
BuhRuce,60,27
Swishers,10,21
Insomnia,68,81
Summus,20,15
thumbthief,33,57
M0rg,67,81
Unforgiven,101,62
Grez,68,64
Big_Papi,33,44
Viper,21,13
itonydelatorre,62,58
DK,54,67
Dread,40,30
tehblister,30,11
TSR,71,76
ThrashHawk,37,36
Virt,49,86
OGSlurpee,20,35
Agent Thunder,19,9
ChaosSpike,11,8
Jamesy,12,21
Springer,9,36
Shadow,27,40
Adi,20,23
RoyalGrace,11,24
Zeus,11,14
TheBlaster94,42,62
Super,23,42
Shade,39,55
Script,33,24
hellyaman,39,26
Pizza Sauce,10,20
Modangles_TTV,14,46
Jake,7,22
JustStopBrah,12,14
Wybz,14,12
Killerbaird2,9,15
Xeia,15,20
Mockhyy,15,20
Bob,21,14
Armored Farmer,9,21
Z3R0,10,25
goldentornado17,9,23
Zyta,23,9
Shay,15,29
Sevenspades,23,10
bossanova,17,13
