Player,Goals For,Goals Against
Adi,60,35
hellyaman,57,36
Robber00,42,69
The Great Teddie,78,80
DocPep,50,40
FlemingVincent,14,19
BD Yurek,45,45
Flyin_Dutch_Oven,37,53
Modangles_TTV,51,55
DIDDYxKONG,66,104
Tuxedo Marx,63,55
AubreyE,91,70
Sobes,48,59
HK_BadBoy,76,77
Texas21Ace,63,60
OldManBallin26,94,83
Achillies,40,49
Pr0phete,14,21
Winnie the Pooh,37,28
Daddy J,77,66
BigMacDan,36,42
Tempeszt,73,88
Rsayers,48,33
Hextasy,32,21
C0P3x,25,9
CommanderSushi1,25,9
LongJohnCandy,30,52
Devastator_G1,70,103
Cammm,50,78
mceaton,59,88
Burrie,93,55
Insanerossi13,77,72
RetroDevil,70,76
Brokarian,84,71
Mr T,87,70
Hershey,20,24
quinestupapa,78,68
NinjaTurry,64,57
Meddler,59,70
Zeakz,81,60
Killerbaird2,13,16
redwaterblue,67,94
Schult,72,46
kenbennedy,55,97
Khacs,34,26
B1iZaRd,115,73
TheHamburglar,24,27
DomRM14,87,67
OwnerOfTheWhiteSedan,47,62
TallestDan,26,32
musclemagic,53,64
Klismo,75,75
NotHenry,75,70
RudyR23,101,91
Shadow,31,38
Kamii2K,29,43
mdsooter,36,24
Endless,65,47
Tevn,78,77
Richyy,39,41
ShuaIRL,62,77
Faker,19,28
Pupper,65,82
Hyper,26,42
cakekyst,31,47
Rush,65,79
Slayd,54,68
Salvation,49,87
ZAdams,89,71
TheMagnelephant,53,32
stevo,105,88
Fuhof,80,65
MouseRat,50,41
calllmeSavag3,29,56
JustStopBrah,32,22
TourneyEarnie,68,65
Dread,34,19
DLEW19,87,66
FlyinHi,46,47
MeadowMaker,96,68
Frodoswaggins,78,113
FlipBaker,28,35
Sandpaper,55,58
Staas,113,87
Deli,80,60
Riyo,34,20
Hardcoregames15,101,84
COP3x,29,13
Nickisared,46,60
Bookopoulos,41,51
SammyNieds18,81,48
Zybax,61,57
obfuscurity,103,58
trg30809,72,63
LilRock,51,38
Krihg,93,110
Goose,42,84
bitpost,48,78
Mark,62,83
MtnDrewski,66,48
DDia,66,78
Troubadour,74,88
DillDill,35,23
Billy,52,53
ITSLAPPY,75,73
Faux Paw,32,31
DonkeyKong,60,50
coversum,71,49
Carl,97,87
xHDx Crack3r,63,87
LowkeyArrubla,53,22
DC9708,79,98
jgabbert13,51,66
YOUGOTOWNED4200,44,40
Mopli,21,11
IMichael,77,59
Miller_Ball_22,96,60
ScruffyLobo,46,75
DrummerBoy,54,53
doom,51,41
BDG Explosion,11,19
Clemons9,52,63
bippers,91,65
Tascam,30,25
James,14,16
mtdiedrich,39,47
Eclair,86,65
ElCuchinero Cuh,52,68
Bachem,47,57
Stephen,61,66
Jordak,60,31
Alton,42,48
jansen24,26,40
JaxTrade,90,93
Pander,39,52
UrbaN_,15,11
Adrenaline,49,48
digismack,13,18
SCarton,34,65
shaggy,26,44
TheBokChoyBoi,19,34
TaterBott,55,74
Eazuu,55,39
YunKesuk,40,40
zFLaMEx2,108,52
BurnWanSahn,41,53
Black,49,31
WantSomeSugarRL,15,9
tyler-,28,24
Zar235,19,32
Darkfire,22,40
therealmobagz,38,57
Zoul,41,27
Finicko,25,29
Pavek_69,57,47
kakutani,27,27
JustGary,60,56
Driu,27,32
ArrSin,23,34
Poopfish,24,33
Razzmiik,42,51
Bearhawk02,42,31
Fumbles,32,17
KEAxCoPe,30,78
BuildABear,43,37
Stache201,11,5
Mack,50,48
WeWantSomeSugarRL,16,30
abrothershamus,28,22
Legit.suspect,10,15
Celery Man,45,53
All Seeing,13,13
Firehoops,9,22
Rift,33,23
SkHarper94,29,31
A_1eyedgopher,11,15
Lettuce,10,7
katostrophlc,42,30
Dstny,26,40
yoyo,15,13
