Maj3stikMoose,1,1,525,4,0,2,5,465,,,,,,,,,,,,,,,,,,,,,,
NinjaRider,1,1,220,2,0,0,3,465,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,465,3,0,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Kend0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Maj3stikMoose,1,1,485,2,0,4,6,315,,,,,,,,,,,,,,,,,,,,,,
NinjaRider,1,1,145,0,1,1,0,315,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,315,0,0,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Kend0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Maj3stikMoose,5,4,2400,14,0,13,27,2060,,,,,,,,,,,,,,,,,,,,,,
NinjaRider,5,4,690,2,2,4,7,2060,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,2060,9,3,10,26,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Kend0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Maj3stikMoose,1,1,415,2,1,1,5,365,,,,,,,,,,,,,,,,,,,,,,
NinjaRider,1,1,140,1,0,0,1,365,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,365,1,0,2,2,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Kend0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Maj3stikMoose,1,0,405,1,0,3,5,610,,,,,,,,,,,,,,,,,,,,,,
NinjaRider,1,0,165,0,1,0,2,610,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,610,3,2,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Kend0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Maj3stikMoose,1,1,415,1,2,2,7,410,,,,,,,,,,,,,,,,,,,,,,
NinjaRider,1,1,235,2,0,0,4,410,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,410,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Kend0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Maj3stikMoose,1,0,430,2,1,2,6,825,,,,,,,,,,,,,,,,,,,,,,
NinjaRider,1,0,255,1,0,3,1,825,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,825,4,1,3,11,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Kend0,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Maj3stikMoose,1,0,175,0,0,0,2,995,,,,,,,,,,,,,,,,,,,,,,
NinjaRider,1,0,170,1,0,1,4,995,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,995,8,1,4,9,,,,,,,,,,,,,,,,,,,,,,,
