Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,505,4,0,0,9,540,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,255,1,2,0,2,540,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,540,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,645,5,2,1,7,485,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,420,3,3,0,3,485,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,485,3,1,1,4,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,165,0,2,1,0,410,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,410,2,0,3,3,410,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,410,1,0,0,8,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,0,215,0,0,2,3,760,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,0,260,1,0,1,4,760,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,760,2,1,6,6,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,1,1,420,3,1,0,5,430,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,265,1,2,1,2,430,,,,,,,,,,,,,,,,,,,,,,
Dur,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,430,2,1,2,4,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,5,4,1950,12,5,4,24,2625,,,,,,,,,,,,,,,,,,,,,,
SithDroid,5,4,1610,8,7,5,14,2625,,,,,,,,,,,,,,,,,,,,,,
Dur,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,2625,11,5,12,25,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,145,0,0,1,0,240,,,,,,,,,,,,,,,,,,,,,,
Dur,1,1,235,1,0,0,2,240,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,240,0,0,1,4,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,0,215,1,0,2,3,830,,,,,,,,,,,,,,,,,,,,,,
Dur,1,0,205,1,0,0,3,830,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,830,5,2,3,10,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,1,260,2,0,1,3,460,,,,,,,,,,,,,,,,,,,,,,
Dur,1,1,380,1,2,3,3,460,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,460,1,1,4,6,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Springy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SithDroid,1,0,300,2,1,2,3,705,,,,,,,,,,,,,,,,,,,,,,
Dur,1,0,245,1,0,1,2,705,,,,,,,,,,,,,,,,,,,,,,
