Game Information,,,,,,Player Statlines,,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh,NCP
1,3,5,Blizzard,Shadow,CaliforniaStoll,454,2,0,1,6,
1,3,5,Shadow,Blizzard,Recede,323,0,0,2,2,
1,3,5,Shadow,Blizzard,Sir Epic Nerd,327,1,0,2,3,
1,4,5,Blizzard,Shadow,Adi,611,3,1,1,5,
1,4,5,Blizzard,Shadow,CaliforniaStoll,673,3,2,0,4,
1,4,5,Shadow,Blizzard,Recede,188,1,0,0,2,
1,4,5,Shadow,Blizzard,Sir Epic Nerd,62,0,0,0,0,
1,5,5,Blizzard,Shadow,Adi,561,2,3,1,3,
1,5,5,Blizzard,Shadow,CaliforniaStoll,889,4,1,3,6,
1,5,5,Shadow,Blizzard,Recede,455,2,0,2,4,
1,5,5,Shadow,Blizzard,Sir Epic Nerd,226,0,1,0,2,
1,1,6,Hawks,Express,Tempeszt,578,3,0,2,3,
1,1,6,Hawks,Express,DC9708,411,0,2,2,2,
1,1,6,Express,Hawks,Insanerossi13,178,0,1,0,3,
1,1,6,Express,Hawks,quinestupapa,454,2,0,1,4,
1,2,6,Hawks,Express,Tempeszt,408,1,0,1,2,
1,2,6,Hawks,Express,DC9708,508,2,0,1,4,
1,2,6,Express,Hawks,Insanerossi13,428,0,1,3,2,
1,2,6,Express,Hawks,quinestupapa,450,2,0,0,3,
1,3,6,Hawks,Express,Tempeszt,462,2,1,0,4,
1,3,6,Hawks,Express,DC9708,416,2,0,0,3,
1,3,6,Express,Hawks,Insanerossi13,437,0,1,2,1,
1,3,6,Express,Hawks,quinestupapa,300,2,0,0,4,
1,4,6,Hawks,Express,Tempeszt,190,0,0,0,1,
1,4,6,Hawks,Express,DC9708,270,1,0,1,2,
1,4,6,Express,Hawks,Insanerossi13,697,4,2,0,5,
1,4,6,Express,Hawks,quinestupapa,768,4,1,1,5,
1,5,6,Hawks,Express,Tempeszt,304,1,0,1,2,
1,5,6,Hawks,Express,DC9708,371,1,1,1,1,
1,5,6,Express,Hawks,Insanerossi13,378,1,1,1,1,
1,5,6,Express,Hawks,quinestupapa,452,2,0,0,5,
1,1,7,Lightning,Puffins,SammyNieds18,561,3,0,0,4,
1,1,7,Lightning,Puffins,Eclair,462,1,2,1,2,
1,1,7,Puffins,Lightning,toy.ninja,342,1,0,0,6,
1,1,7,Puffins,Lightning,mawnir,209,0,0,1,0,
1,2,7,Lightning,Puffins,SammyNieds18,539,2,0,2,2,
1,2,7,Lightning,Puffins,Eclair,502,2,2,0,6,
1,2,7,Puffins,Lightning,toy.ninja,500,1,1,1,5,
1,2,7,Puffins,Lightning,mawnir,370,2,0,1,2,
1,3,7,Lightning,Puffins,SammyNieds18,330,1,0,1,3,
1,3,7,Lightning,Puffins,Eclair,478,2,0,1,4,
1,3,7,Puffins,Lightning,toy.ninja,396,0,1,1,3,
1,3,7,Puffins,Lightning,mawnir,318,1,0,1,2,
1,4,7,Lightning,Puffins,SammyNieds18,404,1,2,0,4,
1,4,7,Lightning,Puffins,Eclair,481,2,0,1,5,
1,4,7,Puffins,Lightning,toy.ninja,242,0,0,0,1,
1,4,7,Puffins,Lightning,mawnir,363,0,0,3,3,
1,5,7,Lightning,Puffins,SammyNieds18,539,3,0,0,5,
1,5,7,Lightning,Puffins,Eclair,584,2,1,3,2,
1,5,7,Puffins,Lightning,toy.ninja,492,2,1,0,6,
1,5,7,Puffins,Lightning,mawnir,298,1,1,1,3,
1,1,8,Eclipse,Aviators,Drewnobyl,783,4,0,3,5,
1,1,8,Eclipse,Aviators,Techsam2k8,463,0,3,1,6,
1,1,8,Aviators,Eclipse,ZAdams,619,2,0,3,5,
1,1,8,Aviators,Eclipse,Rsayers,457,1,0,3,2,
1,2,8,Eclipse,Aviators,Drewnobyl,436,2,1,0,2,
1,2,8,Eclipse,Aviators,Techsam2k8,486,1,1,0,1,
1,2,8,Aviators,Eclipse,ZAdams,170,0,0,0,1,
1,2,8,Aviators,Eclipse,Rsayers,260,0,0,1,1,
1,3,8,Eclipse,Aviators,Drewnobyl,712,3,3,0,3,
1,3,8,Eclipse,Aviators,Techsam2k8,715,4,2,0,6,
1,3,8,Aviators,Eclipse,ZAdams,260,1,1,0,1,
1,3,8,Aviators,Eclipse,Rsayers,494,2,0,2,2,
1,4,8,Eclipse,Aviators,Drewnobyl,410,1,1,0,4,
1,4,8,Eclipse,Aviators,Techsam2k8,468,1,1,2,4,
1,4,8,Aviators,Eclipse,ZAdams,594,2,1,2,5,
1,4,8,Aviators,Eclipse,Rsayers,374,1,1,1,2,
1,5,8,Eclipse,Aviators,Drewnobyl,352,0,0,2,4,
