Game Information,,,,,,Player Statlines,,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh,NCP
1,3,5,Hurricanes,Bulls,DocPep,180,0,1,0,3,
1,4,5,Bulls,Hurricanes,DonutPirate,419,1,3,0,2,
1,4,5,Bulls,Hurricanes,Luna's Protector,824,4,1,1,6,
1,4,5,Hurricanes,Bulls,TheMagnelephant,454,1,2,0,4,
1,4,5,Hurricanes,Bulls,DocPep,695,3,1,3,2,
1,5,5,Bulls,Hurricanes,DonutPirate,140,0,0,1,0,
1,5,5,Bulls,Hurricanes,Luna's Protector,526,2,0,2,3,
1,5,5,Hurricanes,Bulls,TheMagnelephant,380,2,0,1,3,
1,5,5,Hurricanes,Bulls,DocPep,372,1,1,0,4,
1,1,6,Elite,Spectre,Chunkylover,488,2,0,0,5,
1,1,6,Elite,Spectre,Rick,206,0,0,1,2,
1,1,6,Spectre,Elite,Knight Doc Wolfe,386,1,0,1,1,
1,1,6,Spectre,Elite,abrothershamus,292,0,0,2,1,
1,2,6,Elite,Spectre,Chunkylover,727,3,1,0,8,
1,2,6,Elite,Spectre,Rick,290,1,1,0,4,
1,2,6,Spectre,Elite,Knight Doc Wolfe,693,2,1,3,4,
1,2,6,Spectre,Elite,abrothershamus,206,1,0,0,1,
1,3,6,Elite,Spectre,Chunkylover,685,3,1,2,4,
1,3,6,Elite,Spectre,Rick,707,3,2,2,5,
1,3,6,Spectre,Elite,Knight Doc Wolfe,280,0,0,1,3,
1,3,6,Spectre,Elite,abrothershamus,238,0,0,1,2,
1,4,6,Elite,Spectre,Chunkylover,287,0,0,1,5,
1,4,6,Elite,Spectre,Rick,430,0,0,5,2,
1,4,6,Spectre,Elite,Knight Doc Wolfe,949,4,0,5,5,
1,4,6,Spectre,Elite,abrothershamus,430,0,2,1,4,
1,5,6,Elite,Spectre,Chunkylover,496,0,0,1,6,
1,5,6,Elite,Spectre,Rick,372,0,0,1,2,
1,5,6,Spectre,Elite,Knight Doc Wolfe,735,1,0,4,2,
1,5,6,Spectre,Elite,abrothershamus,500,0,0,3,1,
1,1,7,Tyrants,Flames,TSR,837,3,0,4,3,
1,1,7,Tyrants,Flames,Revolving,291,0,1,2,2,
1,1,7,Flames,Tyrants,mdsooter,206,0,1,0,4,
1,1,7,Flames,Tyrants,Luke,481,2,0,1,5,
1,2,7,Tyrants,Flames,TSR,640,3,0,1,5,
1,2,7,Tyrants,Flames,Revolving,260,0,1,1,0,
1,2,7,Flames,Tyrants,mdsooter,317,0,1,1,1,
1,2,7,Flames,Tyrants,Luke,502,2,0,0,3,
1,3,7,Tyrants,Flames,TSR,500,2,1,0,5,
1,3,7,Tyrants,Flames,Revolving,428,1,1,2,1,
1,3,7,Flames,Tyrants,mdsooter,278,0,1,1,1,
1,3,7,Flames,Tyrants,Luke,373,1,0,1,2,
1,4,7,Tyrants,Flames,TSR,306,0,0,1,4,
1,4,7,Tyrants,Flames,Revolving,368,0,0,2,2,
1,4,7,Flames,Tyrants,mdsooter,454,0,2,2,2,
1,4,7,Flames,Tyrants,Luke,456,2,0,1,3,
1,5,7,Tyrants,Flames,TSR,370,1,0,0,6,
1,5,7,Tyrants,Flames,Revolving,260,0,1,2,0,
1,5,7,Flames,Tyrants,mdsooter,410,2,0,1,3,
1,5,7,Flames,Tyrants,Luke,474,1,2,2,2,
1,1,8,Pandas,Dodgers,DonkeyKong,536,0,2,3,2,
1,1,8,Pandas,Dodgers,Clowdy Howdy,633,3,0,1,6,
1,1,8,Dodgers,Pandas,stevo,692,2,1,3,5,
1,1,8,Dodgers,Pandas,Capsfan,533,2,1,0,5,
1,2,8,Pandas,Dodgers,DonkeyKong,558,2,2,2,2,
1,2,8,Pandas,Dodgers,Clowdy Howdy,639,2,1,2,2,
1,2,8,Dodgers,Pandas,stevo,346,1,0,0,4,
