Game Information,,,,,,Player Statlines,,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh,NCP
1,3,5,Aviators,Ducks,Achillies,369,0,2,1,3,
1,3,5,Aviators,Ducks,Pr0phete,583,3,0,0,6,
1,3,5,Ducks,Aviators,Winnie the Pooh,624,3,1,1,5,
1,3,5,Ducks,Aviators,Daddy J,429,1,0,3,1,
1,4,5,Aviators,Ducks,Achillies,546,1,1,3,4,
1,4,5,Aviators,Ducks,Pr0phete,429,1,1,1,4,
1,4,5,Ducks,Aviators,Winnie the Pooh,784,3,1,3,7,
1,4,5,Ducks,Aviators,Daddy J,416,2,1,1,2,
1,5,5,Aviators,Ducks,Achillies,148,0,0,0,1,
1,5,5,Aviators,Ducks,Pr0phete,458,0,0,2,1,
1,5,5,Ducks,Aviators,Winnie the Pooh,541,2,1,1,4,
1,5,5,Ducks,Aviators,Daddy J,256,1,0,0,1,
1,1,6,Hawks,Hive,BigMacDan,386,1,0,1,3,
1,1,6,Hawks,Hive,Tempeszt,270,0,0,2,2,
1,1,6,Hive,Hawks,Rsayers,469,1,0,2,2,
1,1,6,Hive,Hawks,Hextasy,248,1,0,0,3,
1,2,6,Hawks,Hive,BigMacDan,248,0,0,1,1,
1,2,6,Hawks,Hive,Tempeszt,377,1,0,1,3,
1,2,6,Hive,Hawks,Rsayers,332,1,1,0,1,
1,2,6,Hive,Hawks,Hextasy,427,1,0,1,3,
1,3,6,Hawks,Hive,BigMacDan,559,2,3,0,3,
1,3,6,Hawks,Hive,Tempeszt,617,3,0,1,4,
1,3,6,Hive,Hawks,Rsayers,462,1,1,1,2,
1,3,6,Hive,Hawks,Hextasy,246,1,0,1,1,
1,4,6,Hawks,Hive,BigMacDan,473,2,0,1,4,
1,4,6,Hawks,Hive,Tempeszt,314,0,1,2,2,
1,4,6,Hive,Hawks,Rsayers,418,1,0,1,5,
1,4,6,Hive,Hawks,Hextasy,282,0,1,2,0,
1,5,6,Hawks,Hive,BigMacDan,334,1,0,0,1,
1,5,6,Hawks,Hive,Tempeszt,368,1,1,1,5,
1,5,6,Hive,Hawks,Rsayers,488,1,2,2,2,
1,5,6,Hive,Hawks,Hextasy,440,2,0,1,3,
1,1,7,Express,Jets,C0P3x,791,4,1,1,5,
1,1,7,Express,Jets,CommanderSushi1,742,3,2,2,5,
1,1,7,Jets,Express,LongJohnCandy,434,0,2,2,3,
1,1,7,Jets,Express,Devastator_G1,424,2,0,1,3,
1,2,7,Express,Jets,C0P3x,975,5,0,2,6,
1,2,7,Express,Jets,CommanderSushi1,453,1,3,1,2,
1,2,7,Jets,Express,LongJohnCandy,318,1,0,1,2,
1,2,7,Jets,Express,Devastator_G1,268,0,1,1,2,
1,3,7,Express,Jets,C0P3x,1034,4,0,4,4,
1,3,7,Express,Jets,CommanderSushi1,651,2,1,3,4,
1,3,7,Jets,Express,LongJohnCandy,719,3,1,2,8,
1,3,7,Jets,Express,Devastator_G1,456,2,1,0,5,
1,4,7,Express,Jets,C0P3x,266,1,0,0,4,
1,4,7,Express,Jets,CommanderSushi1,450,1,0,2,3,
1,4,7,Jets,Express,LongJohnCandy,324,1,0,1,3,
1,4,7,Jets,Express,Devastator_G1,271,0,1,1,2,
1,5,7,Express,Jets,C0P3x,605,3,1,0,5,
1,5,7,Express,Jets,CommanderSushi1,412,1,1,1,2,
1,5,7,Jets,Express,LongJohnCandy,298,0,0,3,0,
1,5,7,Jets,Express,Devastator_G1,236,0,0,0,5,
1,1,8,Knights,Spartans,Cammm,220,0,0,1,2,
1,1,8,Knights,Spartans,mceaton,198,0,0,0,1,
1,1,8,Spartans,Knights,Burrie,563,3,0,0,3,
1,1,8,Spartans,Knights,Insanerossi13,351,0,1,3,0,
1,2,8,Knights,Spartans,Cammm,597,2,1,1,5,
1,2,8,Knights,Spartans,mceaton,425,1,1,3,1,
1,2,8,Spartans,Knights,Burrie,586,2,2,1,5,
1,2,8,Spartans,Knights,Insanerossi13,575,3,1,0,6,
1,3,8,Knights,Spartans,Cammm,444,1,0,3,1,
1,3,8,Knights,Spartans,mceaton,505,2,0,1,3,
1,3,8,Spartans,Knights,Burrie,636,2,2,1,7,
1,3,8,Spartans,Knights,Insanerossi13,501,2,1,1,4,
1,4,8,Knights,Spartans,Cammm,304,1,0,0,4,
1,4,8,Knights,Spartans,mceaton,486,2,0,1,3,
1,4,8,Spartans,Knights,Burrie,622,2,1,2,3,
1,4,8,Spartans,Knights,Insanerossi13,559,2,1,2,2,
1,5,8,Knights,Spartans,Cammm,465,2,1,1,4,
1,5,8,Knights,Spartans,mceaton,555,1,1,2,5,
1,5,8,Spartans,Knights,Burrie,561,2,1,1,4,
1,5,8,Spartans,Knights,Insanerossi13,586,2,1,2,3,
1,1,9,Bears,Outlaws,RetroDevil,572,2,1,1,6,
1,1,9,Bears,Outlaws,Brokarian,436,2,0,2,3,
1,1,9,Outlaws,Bears,Mr T,552,1,0,5,4,
1,1,9,Outlaws,Bears,Hershey,198,0,1,0,0,
1,2,9,Bears,Outlaws,RetroDevil,380,1,0,2,3,
1,2,9,Bears,Outlaws,Brokarian,254,1,0,0,3,
1,2,9,Outlaws,Bears,Mr T,615,3,0,2,5,
1,2,9,Outlaws,Bears,Hershey,422,1,1,1,2,
1,3,9,Bears,Outlaws,RetroDevil,535,1,2,2,4,
1,3,9,Bears,Outlaws,Brokarian,563,3,0,2,5,
1,3,9,Outlaws,Bears,Mr T,582,1,2,2,4,
1,3,9,Outlaws,Bears,Hershey,460,2,1,1,5,
1,4,9,Bears,Outlaws,RetroDevil,483,1,0,1,2,
1,4,9,Bears,Outlaws,Brokarian,281,0,0,2,2,
1,4,9,Outlaws,Bears,Mr T,458,0,2,2,0,
1,4,9,Outlaws,Bears,Hershey,450,2,0,0,6,
1,5,9,Bears,Outlaws,RetroDevil,611,3,1,0,6,
1,5,9,Bears,Outlaws,Brokarian,489,1,3,0,3,
1,5,9,Outlaws,Bears,Mr T,631,3,0,2,4,
1,5,9,Outlaws,Bears,Hershey,343,0,3,1,0,
1,1,10,Pirates,Rhinos,quinestupapa,727,2,1,3,5,
1,1,10,Pirates,Rhinos,NinjaTurry,302,1,0,1,4,
1,1,10,Rhinos,Pirates,Meddler,493,0,0,4,2,
1,1,10,Rhinos,Pirates,Zeakz,260,0,0,2,3,
1,2,10,Pirates,Rhinos,quinestupapa,424,1,0,1,6,
1,2,10,Pirates,Rhinos,NinjaTurry,112,0,0,0,3,
1,2,10,Rhinos,Pirates,Meddler,653,3,0,1,3,
1,2,10,Rhinos,Pirates,Zeakz,434,0,2,3,4,
1,3,10,Pirates,Rhinos,quinestupapa,318,1,0,1,3,
1,3,10,Pirates,Rhinos,NinjaTurry,364,0,0,3,0,
1,3,10,Rhinos,Pirates,Meddler,611,2,1,2,4,
1,3,10,Rhinos,Pirates,Zeakz,414,1,2,0,5,
1,4,10,Pirates,Rhinos,quinestupapa,396,0,0,3,1,
1,4,10,Pirates,Rhinos,NinjaTurry,102,0,0,0,2,
1,4,10,Rhinos,Pirates,Meddler,434,2,0,1,3,
1,4,10,Rhinos,Pirates,Zeakz,284,1,0,0,3,
1,5,10,Pirates,Rhinos,quinestupapa,753,3,0,3,3,
1,5,10,Pirates,Rhinos,NinjaTurry,303,1,0,1,2,
1,5,10,Rhinos,Pirates,Meddler,281,0,0,1,2,
1,5,10,Rhinos,Pirates,Zeakz,302,1,0,0,4,
1,1,11,Comets,Demolition,Killerbaird2,416,1,1,1,3,
1,1,11,Comets,Demolition,redwaterblue,324,1,0,0,5,
1,1,11,Demolition,Comets,Schult,319,0,0,3,1,
1,1,11,Demolition,Comets,kenbennedy,168,0,0,0,0,
1,2,11,Comets,Demolition,Killerbaird2,415,1,0,2,2,
1,2,11,Comets,Demolition,redwaterblue,542,2,1,0,3,
1,2,11,Demolition,Comets,Schult,791,4,0,0,5,
1,2,11,Demolition,Comets,kenbennedy,262,0,1,1,1,
1,3,11,Comets,Demolition,Killerbaird2,674,2,0,4,3,
1,3,11,Comets,Demolition,redwaterblue,352,1,2,0,2,
1,3,11,Demolition,Comets,Schult,924,4,1,3,7,
1,3,11,Demolition,Comets,kenbennedy,334,1,1,0,3,
1,4,11,Comets,Demolition,Killerbaird2,408,0,1,2,5,
1,4,11,Comets,Demolition,redwaterblue,324,1,0,0,4,
1,4,11,Demolition,Comets,Schult,1085,3,1,7,3,
1,4,11,Demolition,Comets,kenbennedy,332,1,1,0,1,
1,5,11,Comets,Demolition,Killerbaird2,519,3,0,0,5,
1,5,11,Comets,Demolition,redwaterblue,431,1,1,1,5,
1,5,11,Demolition,Comets,Schult,698,1,2,3,1,
1,5,11,Demolition,Comets,kenbennedy,382,2,0,1,3,
1,1,12,Spectre,Wizards,Khacs,623,3,0,0,8,
1,1,12,Spectre,Wizards,B1iZaRd,312,0,1,1,2,
1,1,12,Wizards,Spectre,TheHamburglar,360,1,0,2,0,
1,1,12,Wizards,Spectre,DomRM14,352,0,1,2,2,
1,2,12,Spectre,Wizards,Khacs,387,1,0,1,4,
1,2,12,Spectre,Wizards,B1iZaRd,378,1,1,2,0,
1,2,12,Wizards,Spectre,TheHamburglar,440,2,0,0,6,
1,2,12,Wizards,Spectre,DomRM14,528,2,0,3,1,
1,3,12,Spectre,Wizards,Khacs,532,1,0,3,6,
1,3,12,Spectre,Wizards,B1iZaRd,679,3,1,1,6,
