1,2,5,Spartans,Comets,Wavy,240,1,0,2,4
1,3,5,Comets,Spartans,Jmonta22,265,1,0,1,5
1,3,5,Comets,Spartans,Lodsain,140,0,1,1,2
1,3,5,Spartans,Comets,SwankyBubbles,170,0,2,1,1
1,3,5,Spartans,Comets,Wavy,410,2,0,4,4
1,4,5,Comets,Spartans,Jmonta22,450,2,1,1,7
1,4,5,Comets,Spartans,Lodsain,230,1,1,1,2
1,4,5,Spartans,Comets,SwankyBubbles,220,1,1,1,2
1,4,5,Spartans,Comets,Wavy,270,1,1,2,2
1,5,5,Comets,Spartans,Jmonta22,230,1,0,1,4
1,5,5,Comets,Spartans,Lodsain,135,0,0,0,1
1,5,5,Spartans,Comets,SwankyBubbles,350,2,0,0,3
1,5,5,Spartans,Comets,Wavy,235,0,1,3,0
1,1,6,Demolition,Elite,Pizzaman,120,0,1,0,1
1,1,6,Demolition,Elite,Doshkin,250,1,0,2,3
1,1,6,Elite,Demolition,ClayBagel,185,2,0,0,2
1,1,6,Elite,Demolition,Whiffles,295,0,1,0,5
1,2,6,Demolition,Elite,Pizzaman,110,0,1,1,0
1,2,6,Demolition,Elite,Doshkin,240,1,0,2,3
1,2,6,Elite,Demolition,ClayBagel,205,1,1,0,2
1,2,6,Elite,Demolition,Whiffles,360,1,0,1,6
1,3,6,Demolition,Elite,Pizzaman,155,1,0,0,3
1,3,6,Demolition,Elite,Doshkin,250,0,1,1,1
1,3,6,Elite,Demolition,ClayBagel,105,0,0,1,1
1,3,6,Elite,Demolition,Whiffles,155,0,0,1,1
1,4,6,Demolition,Elite,Pizzaman,235,1,2,2,3
1,4,6,Demolition,Elite,Doshkin,555,4,1,1,6
1,4,6,Elite,Demolition,ClayBagel,240,0,2,2,2
1,4,6,Elite,Demolition,Whiffles,275,2,0,1,5
1,5,6,Demolition,Elite,Pizzaman,135,1,0,1,0
1,5,6,Demolition,Elite,Doshkin,490,3,1,1,5
1,5,6,Elite,Demolition,ClayBagel,235,2,1,0,2
1,5,6,Elite,Demolition,Whiffles,210,1,1,0,3
1,1,7,Ducks,Hawks,Mateo,235,1,0,0,5
1,1,7,Ducks,Hawks,LittleGiant,145,0,1,1,1
1,1,7,Hawks,Ducks,Furphy,270,1,0,2,1
1,1,7,Hawks,Ducks,Cheeseisstupid,180,1,0,2,2
1,2,7,Ducks,Hawks,Mateo,330,1,0,1,6
1,2,7,Ducks,Hawks,LittleGiant,230,1,0,1,3
1,2,7,Hawks,Ducks,Furphy,290,1,0,3,2
1,2,7,Hawks,Ducks,Cheeseisstupid,220,0,0,3,2
1,3,7,Ducks,Hawks,Mateo,505,3,0,4,4
1,3,7,Ducks,Hawks,LittleGiant,280,2,0,2,2
1,3,7,Hawks,Ducks,Furphy,605,4,1,1,8
1,3,7,Hawks,Ducks,Cheeseisstupid,335,2,2,0,4
1,4,7,Ducks,Hawks,Mateo,590,4,0,3,6
1,4,7,Ducks,Hawks,LittleGiant,230,1,1,0,2
1,4,7,Hawks,Ducks,Furphy,170,0,1,1,3
1,4,7,Hawks,Ducks,Cheeseisstupid,155,1,0,0,2
1,5,7,Ducks,Hawks,Mateo,365,2,0,1,4
1,5,7,Ducks,Hawks,LittleGiant,295,1,2,1,2
1,5,7,Hawks,Ducks,Furphy,275,1,0,2,3
1,5,7,Hawks,Ducks,Cheeseisstupid,195,1,0,0,2
