Player,Goals For,Goals Against
Cardinal22,58,64
Brokarian,14,13
BlackknightJC,13,14
Zeakz,13,14
Forgiiv,68,86
hellyaman,34,36
Hardcoregames15,58,65
mtdiedrich,65,77
Nb_legend94,24,35
Hershey (AngryTinyRick),84,61
206 Gaming,51,44
TourneyEarnie,68,63
LilRock,87,49
Mario_RL,91,44
SCarton,33,49
YOUGOTOWNED4200,57,57
Adi,95,63
CaliforniaStoll,50,26
Recede,64,119
Sir Epic Nerd,35,105
Tempeszt,71,92
DC9708,82,82
Insanerossi13,25,23
quinestupapa,96,65
SammyNieds18,80,54
Eclair,65,52
toy.ninja,83,72
mawnir,61,56
Drewnobyl,71,56
Techsam2k8,32,57
ZAdams,52,68
Rsayers,67,58
Bepsi,71,57
Rednyte,52,59
KuiQy,29,30
Nosedive53,36,30
Banshee_Time,51,60
bugdaddy,56,70
CommanderSushi1,63,35
NinjaTurry,65,59
Tiberius,43,83
BrianZigs,67,52
Lemonwizard58,6,23
ianyoung9871,23,6
Kickpuncher,53,52
TheOnlyBirdy,27,62
C0P3x,38,38
omnikron,21,42
SprK,78,43
Mbizzle Bruh,79,74
Tuxedo Marx,73,48
Celery Man,49,69
kakutani,21,29
Mikey,20,71
Bigbassfishin ,54,37
mceaton,42,22
ItsChangYang,52,41
peechlover,51,41
Zar235,42,48
Troubadour,28,29
Spindlez,15,15
TheGratefulDed,18,8
kenbennedy,6,15
Peyton,6,15
