Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Opposition,5,4,3575,20,8,16,35,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,1,300,2,1,1,2,640,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,1,445,3,1,0,5,640,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,640,4,3,1,8,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,0,190,1,0,0,3,550,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,0,265,0,1,3,1,550,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,550,2,0,3,6,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,1,410,1,2,1,5,525,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,1,315,3,0,1,3,525,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,525,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,0,180,1,0,0,2,645,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,0,200,0,0,3,1,645,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,645,3,2,2,8,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
AcePocket,1,1,260,1,0,0,4,540,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,1,325,2,1,0,2,540,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,540,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
AcePocket,5,3,1340,6,3,2,16,2900,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,5,3,1550,8,3,7,12,2900,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,2900,14,9,12,28,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,1,595,3,0,5,3,635,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,1,135,0,0,1,3,635,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,635,2,2,3,10,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,0,415,1,0,2,4,830,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,0,395,0,1,3,3,830,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,830,2,1,3,8,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,0,240,1,1,1,2,600,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,0,290,1,1,1,2,600,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,600,3,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,1,445,3,1,1,5,405,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,1,250,1,0,1,3,405,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,405,3,0,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,1,0,435,2,0,4,4,755,,,,,,,,,,,,,,,,,,,,,,
AcePocket,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,1,0,160,0,2,0,2,755,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,755,4,1,4,9,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bigqdogg1,5,2,2130,10,2,13,18,3225,,,,,,,,,,,,,,,,,,,,,,
AcePocket,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Sci_Frye,5,2,1230,2,4,6,13,3225,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,3225,14,5,12,38,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
