Game Information,,,,,,Player Statlines,,,,
Week,Game,Match ID,Team,Opponent,Player,Sc,G,A,Sv,Sh
1,5,5,Aviators,Ducks,Icey6,647,2,1,3,4
1,5,5,Aviators,Ducks,Craymin,434,1,2,0,5
1,5,5,Ducks,Aviators,JKmadness,418,0,1,1,2
1,5,5,Ducks,Aviators,Seanner,404,2,0,1,4
1,1,6,Hawks,Hive,TestGravity,748,3,0,2,6
1,1,6,Hawks,Hive,uh steve,352,0,2,1,2
1,1,6,Hive,Hawks,cashioc,640,2,0,3,4
1,1,6,Hive,Hawks,Satsz,563,0,2,4,1
1,2,6,Hawks,Hive,TestGravity,647,3,1,0,8
1,2,6,Hawks,Hive,uh steve,623,1,1,4,2
1,2,6,Hive,Hawks,cashioc,246,0,0,1,4
1,2,6,Hive,Hawks,Satsz,581,1,0,5,4
1,3,6,Hawks,Hive,TestGravity,592,2,0,2,4
1,3,6,Hawks,Hive,uh steve,352,0,1,2,1
1,3,6,Hive,Hawks,cashioc,676,2,0,5,5
1,3,6,Hive,Hawks,Satsz,435,1,1,0,5
1,4,6,Hawks,Hive,TestGravity,798,3,0,2,8
1,4,6,Hawks,Hive,uh steve,260,0,0,2,0
1,4,6,Hive,Hawks,cashioc,404,1,0,0,4
1,4,6,Hive,Hawks,Satsz,537,1,0,4,2
1,5,6,Hawks,Hive,TestGravity,719,3,1,2,8
1,5,6,Hawks,Hive,uh steve,476,1,0,3,4
1,5,6,Hive,Hawks,cashioc,474,2,0,1,6
1,5,6,Hive,Hawks,Satsz,450,0,0,4,1
1,1,7,Express,Jets,Gumbachi,815,4,1,1,7
1,1,7,Express,Jets,Mattybananas,584,2,2,1,5
1,1,7,Jets,Express,Unborn,524,1,1,1,5
1,1,7,Jets,Express,Tagmata,452,1,1,2,3
1,2,7,Express,Jets,Gumbachi,432,1,1,2,3
1,2,7,Express,Jets,Mattybananas,428,1,1,1,5
1,2,7,Jets,Express,Unborn,795,2,1,3,4
1,2,7,Jets,Express,Tagmata,648,1,2,3,2
1,3,7,Express,Jets,Gumbachi,748,1,1,4,6
1,3,7,Express,Jets,Mattybananas,222,1,0,0,3
1,3,7,Jets,Express,Unborn,573,1,1,2,4
1,3,7,Jets,Express,Tagmata,636,3,0,3,4
1,4,7,Express,Jets,Gumbachi,658,2,2,3,1
1,4,7,Express,Jets,Mattybananas,613,3,1,0,5
1,4,7,Jets,Express,Unborn,351,1,0,2,3
1,4,7,Jets,Express,Tagmata,274,0,1,0,3
1,5,7,Express,Jets,Gumbachi,536,2,0,0,11
1,5,7,Express,Jets,Mattybananas,548,1,2,1,7
1,5,7,Jets,Express,Unborn,696,1,2,3,5
1,5,7,Jets,Express,Tagmata,1270,3,1,9,3
1,1,8,Knights,Spartans,TosCrazy,484,2,0,1,4
1,1,8,Knights,Spartans,Achieves,480,1,2,2,4
1,1,8,Spartans,Knights,Letsgobluh,821,4,1,2,6
1,1,8,Spartans,Knights,Saucey,617,2,3,2,2
1,2,8,Knights,Spartans,TosCrazy,721,2,0,4,1
1,2,8,Knights,Spartans,Achieves,453,1,0,3,2
1,2,8,Spartans,Knights,Letsgobluh,272,0,1,0,3
1,2,8,Spartans,Knights,Saucey,390,1,0,1,5
1,3,8,Knights,Spartans,TosCrazy,389,0,0,3,1
1,3,8,Knights,Spartans,Achieves,438,1,0,1,5
1,3,8,Spartans,Knights,Letsgobluh,352,1,0,0,7
1,3,8,Spartans,Knights,Saucey,927,3,0,5,3
1,4,8,Knights,Spartans,TosCrazy,270,0,0,3,1
1,4,8,Knights,Spartans,Achieves,286,0,0,1,2
1,4,8,Spartans,Knights,Letsgobluh,424,1,1,1,3
1,4,8,Spartans,Knights,Saucey,448,1,1,2,4
1,5,8,Knights,Spartans,TosCrazy,384,0,2,1,4
1,5,8,Knights,Spartans,Achieves,378,2,0,0,5
1,5,8,Spartans,Knights,Letsgobluh,317,0,0,1,1
1,5,8,Spartans,Knights,Saucey,275,0,0,1,0
1,1,9,Bears,Outlaws,Ato.,678,2,1,2,8
1,1,9,Bears,Outlaws,Mage,512,2,1,1,4
1,1,9,Outlaws,Bears,Lotty Lettuce,561,1,0,5,2
1,1,9,Outlaws,Bears,Will,445,0,0,4,3
1,2,9,Bears,Outlaws,Ato.,672,2,1,4,5
1,2,9,Bears,Outlaws,Mage,462,1,1,1,4
1,2,9,Outlaws,Bears,Lotty Lettuce,632,2,0,4,4
1,2,9,Outlaws,Bears,Will,252,0,0,1,4
1,3,9,Bears,Outlaws,Ato.,656,2,0,2,5
1,3,9,Bears,Outlaws,Mage,447,0,2,2,4
1,3,9,Outlaws,Bears,Lotty Lettuce,382,1,0,0,3
1,3,9,Outlaws,Bears,Will,500,0,0,3,4
1,4,9,Bears,Outlaws,Ato.,658,2,0,4,2
1,4,9,Bears,Outlaws,Mage,216,0,0,1,2
1,4,9,Outlaws,Bears,Lotty Lettuce,316,0,1,0,3
1,4,9,Outlaws,Bears,Will,334,1,0,1,4
1,5,9,Bears,Outlaws,Ato.,383,1,0,2,2
1,5,9,Bears,Outlaws,Mage,270,0,0,1,5
1,5,9,Outlaws,Bears,Lotty Lettuce,763,3,0,2,6
1,5,9,Outlaws,Bears,Will,343,0,1,3,1
1,1,10,Pirates,Rhinos,Tater,489,2,0,1,5
1,1,10,Pirates,Rhinos,Taki,200,0,1,0,2
1,1,10,Rhinos,Pirates,hiroH,751,4,0,2,5
1,1,10,Rhinos,Pirates,HersheyRL,582,0,3,4,3
1,2,10,Pirates,Rhinos,Tater,840,3,0,4,4
1,2,10,Pirates,Rhinos,Taki,287,0,1,1,2
1,2,10,Rhinos,Pirates,hiroH,445,1,1,2,3
1,2,10,Rhinos,Pirates,HersheyRL,454,1,1,1,5
1,3,10,Pirates,Rhinos,Tater,689,1,3,3,3
1,3,10,Pirates,Rhinos,Taki,929,4,0,2,10
1,3,10,Rhinos,Pirates,hiroH,550,2,1,0,4
1,3,10,Rhinos,Pirates,HersheyRL,694,2,1,3,5
1,4,10,Pirates,Rhinos,Tater,534,2,1,1,8
1,4,10,Pirates,Rhinos,Taki,542,2,1,0,5
1,4,10,Rhinos,Pirates,hiroH,363,0,0,3,1
1,4,10,Rhinos,Pirates,HersheyRL,705,1,0,5,3
1,5,10,Pirates,Rhinos,Tater,658,2,1,3,3
1,5,10,Pirates,Rhinos,Taki,496,2,1,1,4
1,5,10,Rhinos,Pirates,hiroH,226,1,0,0,1
1,5,10,Rhinos,Pirates,HersheyRL,364,0,0,2,6
1,1,11,Comets,Demolition,Apple,393,1,0,2,1
1,1,11,Comets,Demolition,StarFax,665,3,1,1,5
1,1,11,Demolition,Comets,Kunics,612,1,3,1,3
1,1,11,Demolition,Comets,kccolts81,723,4,0,1,6
1,2,11,Comets,Demolition,Apple,468,0,1,3,2
1,2,11,Comets,Demolition,StarFax,332,1,0,1,3
1,2,11,Demolition,Comets,Kunics,238,0,1,1,3
1,2,11,Demolition,Comets,kccolts81,519,2,0,1,4
1,3,11,Comets,Demolition,Apple,682,3,0,3,4
1,3,11,Comets,Demolition,StarFax,214,0,0,1,2
1,3,11,Demolition,Comets,Kunics,687,2,1,3,7
1,3,11,Demolition,Comets,kccolts81,598,2,2,1,4
1,4,11,Comets,Demolition,Apple,377,0,0,3,2
1,4,11,Comets,Demolition,StarFax,299,0,0,2,1
1,4,11,Demolition,Comets,Kunics,711,4,1,1,8
1,4,11,Demolition,Comets,kccolts81,743,2,3,1,6
1,5,11,Comets,Demolition,Apple,172,0,0,0,2
1,5,11,Comets,Demolition,StarFax,118,0,0,0,1
1,5,11,Demolition,Comets,Kunics,1094,4,4,3,6
1,5,11,Demolition,Comets,kccolts81,1010,5,3,0,6
1,1,12,Spectre,Wizards,We take Ls,731,2,1,5,6
1,1,12,Spectre,Wizards,NovaCainRL,697,2,2,2,3
1,1,12,Wizards,Spectre,JustTuck,651,3,0,1,6
1,1,12,Wizards,Spectre,isosolo,587,2,0,4,5
1,2,12,Spectre,Wizards,We take Ls,418,0,2,1,3
1,2,12,Spectre,Wizards,NovaCainRL,820,4,0,1,7
1,2,12,Wizards,Spectre,JustTuck,624,1,0,4,4
1,2,12,Wizards,Spectre,isosolo,278,0,1,1,3
1,3,12,Spectre,Wizards,We take Ls,392,1,0,2,2
1,3,12,Spectre,Wizards,NovaCainRL,206,0,0,1,0
1,3,12,Wizards,Spectre,JustTuck,553,2,3,0,4
1,3,12,Wizards,Spectre,isosolo,941,5,1,1,8
1,4,12,Spectre,Wizards,We take Ls,774,2,1,4,3
1,4,12,Spectre,Wizards,NovaCainRL,527,1,0,4,1
1,4,12,Wizards,Spectre,JustTuck,224,0,1,0,3
1,4,12,Wizards,Spectre,isosolo,392,1,0,1,7
1,5,12,Spectre,Wizards,We take Ls,522,1,1,3,3
1,5,12,Spectre,Wizards,NovaCainRL,456,1,1,2,3
1,5,12,Wizards,Spectre,JustTuck,586,2,0,1,4
1,5,12,Wizards,Spectre,isosolo,556,2,1,1,8
1,1,13,Bulls,Dodgers,BraidedAxe,390,1,0,1,2
1,1,13,Bulls,Dodgers,Antzu,220,0,0,0,2
1,1,13,Dodgers,Bulls,Minamacky,629,3,0,1,5
1,1,13,Dodgers,Bulls,InanimateJ,462,1,1,2,1
1,2,13,Bulls,Dodgers,BraidedAxe,444,1,0,1,4
1,2,13,Bulls,Dodgers,Antzu,254,0,1,1,2
1,2,13,Dodgers,Bulls,Minamacky,466,0,0,3,2
1,2,13,Dodgers,Bulls,InanimateJ,257,0,0,2,0
1,3,13,Bulls,Dodgers,BraidedAxe,619,2,3,0,5
1,3,13,Bulls,Dodgers,Antzu,601,3,1,1,4
1,3,13,Dodgers,Bulls,Minamacky,564,2,2,0,3
1,3,13,Dodgers,Bulls,InanimateJ,366,2,1,0,2
1,4,13,Bulls,Dodgers,BraidedAxe,394,2,0,0,3
1,4,13,Bulls,Dodgers,Antzu,442,1,1,2,4
1,4,13,Dodgers,Bulls,Minamacky,284,0,1,1,1
1,4,13,Dodgers,Bulls,InanimateJ,451,1,0,2,2
1,5,13,Bulls,Dodgers,BraidedAxe,370,1,0,1,2
1,5,13,Bulls,Dodgers,Antzu,476,1,1,1,7
1,5,13,Dodgers,Bulls,Minamacky,498,0,1,4,2
1,5,13,Dodgers,Bulls,InanimateJ,326,1,0,1,3
1,1,14,Elite,Tyrants,Cearu,605,3,0,0,5
1,1,14,Elite,Tyrants,veets,329,1,0,2,3
1,1,14,Tyrants,Elite,Jakester,552,2,0,3,3
1,1,14,Tyrants,Elite,Saucy.,436,1,2,1,4
1,2,14,Elite,Tyrants,Cearu,872,3,2,4,5
1,2,14,Elite,Tyrants,veets,570,2,2,0,3
1,2,14,Tyrants,Elite,Jakester,346,1,0,0,3
1,2,14,Tyrants,Elite,Saucy.,516,1,1,2,3
1,3,14,Elite,Tyrants,Cearu,462,2,0,1,5
1,3,14,Elite,Tyrants,veets,434,1,2,0,3
1,3,14,Tyrants,Elite,Jakester,583,2,1,1,5
