Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Mateo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Atomic,1,1,600,3,1,3,7,365,,,,,,,,,,,,,,,,,,,,,,
LittleGiant,1,1,385,1,3,0,7,365,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,365,0,0,5,4,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Mateo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Atomic,1,0,275,1,0,2,4,635,,,,,,,,,,,,,,,,,,,,,,
LittleGiant,1,0,140,0,1,1,0,635,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,635,4,2,2,8,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Mateo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Atomic,1,0,380,1,0,3,3,630,,,,,,,,,,,,,,,,,,,,,,
LittleGiant,1,0,140,0,0,1,2,630,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,630,3,2,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Mateo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Atomic,1,1,365,1,0,1,5,295,,,,,,,,,,,,,,,,,,,,,,
LittleGiant,1,1,190,1,0,1,0,295,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,295,1,0,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Mateo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Atomic,1,1,560,3,0,4,4,445,,,,,,,,,,,,,,,,,,,,,,
