Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Opposition,5,1,2505,8,4,13,32,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,0,370,1,0,3,5,755,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,0,160,0,0,0,4,755,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,755,2,2,7,5,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,0,355,2,1,1,5,1125,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,0,395,2,1,2,3,1125,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,1125,5,1,4,9,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,1,500,3,0,2,6,670,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,170,1,0,1,3,670,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,670,3,0,4,7,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,1,430,2,1,3,3,540,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,360,2,2,2,1,540,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,540,3,1,0,9,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,1,490,3,1,0,6,680,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,225,1,2,1,2,680,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,680,3,2,4,8,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,5,3,2145,11,3,9,25,3770,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,5,3,1310,6,5,6,13,3770,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,3770,16,6,19,38,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,445,3,1,0,5,335,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,265,1,0,2,4,335,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,335,0,0,4,3,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,545,5,0,2,6,505,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,320,1,3,0,3,505,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,505,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,375,2,0,2,4,385,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,240,0,2,3,0,385,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,385,1,0,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,420,2,2,2,5,220,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,365,3,0,2,4,220,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,220,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,760,6,1,3,6,390,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,305,1,1,2,2,390,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,390,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,5,5,2545,18,4,9,26,1835,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,5,5,1495,6,6,9,13,1835,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,0,1835,4,3,8,25,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,1,290,2,0,0,3,365,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,225,1,1,2,3,365,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,365,1,0,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,1,345,1,1,1,5,245,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,145,1,0,1,1,245,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,245,0,0,1,2,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,1,400,2,1,1,4,415,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,205,1,1,0,2,415,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,415,2,1,0,5,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,1,535,4,0,1,8,190,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,130,0,1,1,0,190,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,190,0,0,1,3,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,1,0,190,0,1,1,2,705,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,0,230,2,0,1,1,705,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,705,4,2,1,8,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,5,4,1760,9,3,4,22,1920,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,5,4,935,5,3,5,7,1920,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,1920,7,3,5,23,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,335,2,2,2,3,430,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,490,3,1,3,6,430,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,430,2,1,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,0,415,2,0,4,3,660,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,0,120,0,0,1,2,660,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,660,3,1,2,9,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,0,275,2,0,2,3,795,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,0,130,0,1,1,2,795,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,795,5,3,3,9,,,,,,,,,,,,,,,,,,,,,,,
Week 6 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Wray,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
NinjaR3Bs,1,1,370,2,0,1,3,425,,,,,,,,,,,,,,,,,,,,,,
Ajgsch,1,1,160,0,1,0,2,425,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,425,1,0,3,4,,,,,,,,,,,,,,,,,,,,,,,
