Pizzaman,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Doshkin,1,0,210,1,0,0,3,820,,,,,,,,,,,,,,,,,,,,,,
Frosty,1,0,200,0,1,1,3,820,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,820,5,3,3,6,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pizzaman,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Doshkin,1,0,155,0,1,2,0,690,,,,,,,,,,,,,,,,,,,,,,
Frosty,1,0,135,1,0,1,1,690,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,690,3,3,0,11,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pizzaman,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Doshkin,5,2,1295,6,3,6,13,3090,,,,,,,,,,,,,,,,,,,,,,
Frosty,5,2,1250,5,3,8,10,3090,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,3090,15,10,10,34,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pizzaman,1,0,55,0,0,1,0,915,,,,,,,,,,,,,,,,,,,,,,
Doshkin,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Frosty,1,0,185,0,0,2,2,915,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,915,7,4,2,12,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pizzaman,1,0,145,1,0,1,1,455,,,,,,,,,,,,,,,,,,,,,,
Doshkin,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Frosty,1,0,240,0,1,0,2,455,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,455,2,0,0,3,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Pizzaman,1,0,105,0,0,2,0,730,,,,,,,,,,,,,,,,,,,,,,
Doshkin,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Frosty,1,0,225,0,0,2,1,730,,,,,,,,,,,,,,,,,,,,,,
