Josephus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,460,3,0,1,4,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,1,0,430,2,0,6,3,745,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,1,0,265,0,1,4,2,745,,,,,,,,,,,,,,,,,,,,,,
Josephus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,745,3,1,4,12,,,,,,,,,,,,,,,,,,,,,,,
Week 2 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,5,2,1125,3,4,9,11,2930,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,5,2,2175,12,2,11,17,2930,,,,,,,,,,,,,,,,,,,,,,
Josephus,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,2930,17,2,9,36,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,1,1,330,1,1,2,2,395,,,,,,,,,,,,,,,,,,,,,,
Josephus,1,1,195,1,0,1,3,395,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,395,1,0,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,1,0,205,1,0,2,2,545,,,,,,,,,,,,,,,,,,,,,,
Josephus,1,0,170,0,1,2,0,545,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,545,2,0,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,1,1,340,1,1,3,2,430,,,,,,,,,,,,,,,,,,,,,,
Josephus,1,1,405,3,1,1,4,430,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,430,2,1,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,1,0,160,0,0,0,3,645,,,,,,,,,,,,,,,,,,,,,,
Josephus,1,0,160,0,0,2,2,645,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,645,2,0,4,8,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,1,0,290,2,0,0,4,615,,,,,,,,,,,,,,,,,,,,,,
Josephus,1,0,170,0,1,1,3,615,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,615,3,2,3,5,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,5,2,1325,5,2,7,13,2630,,,,,,,,,,,,,,,,,,,,,,
Josephus,5,2,1100,4,3,7,12,2630,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,2630,10,3,12,32,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,1,0,140,0,0,2,2,710,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,1,0,195,0,0,2,1,710,,,,,,,,,,,,,,,,,,,,,,
Josephus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,710,4,1,2,9,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,1,0,290,1,1,2,2,865,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,1,0,215,1,1,0,2,865,,,,,,,,,,,,,,,,,,,,,,
Josephus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,865,6,3,2,9,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,1,0,130,0,0,1,1,615,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,1,0,255,1,0,0,5,615,,,,,,,,,,,,,,,,,,,,,,
Josephus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,615,2,2,5,4,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,1,0,55,0,0,0,0,785,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,1,0,165,0,0,0,6,785,,,,,,,,,,,,,,,,,,,,,,
Josephus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,785,5,2,4,9,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,1,0,200,0,1,0,4,1065,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,1,0,190,1,0,1,2,1065,,,,,,,,,,,,,,,,,,,,,,
Josephus,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,1065,7,2,5,8,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,5,0,815,1,2,5,9,4040,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,5,0,1020,3,1,3,16,4040,,,,,,,,,,,,,,,,,,,,,,
Josephus,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,5,4040,24,10,18,39,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,1,0,125,0,0,2,1,700,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Josephus,1,0,110,0,0,0,1,700,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,700,4,2,2,7,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,1,0,200,0,1,1,3,530,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Josephus,1,0,285,1,0,3,2,530,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,530,2,0,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,1,1,150,0,0,2,2,360,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Josephus,1,1,335,1,0,2,2,360,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,360,0,0,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,1,0,270,1,0,1,3,720,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Josephus,1,0,125,0,0,0,1,720,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,720,4,2,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,1,0,40,0,0,0,0,745,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Josephus,1,0,185,0,0,2,1,745,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,745,5,2,0,8,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
RapidChampion,5,1,785,1,1,6,9,3055,,,,,,,,,,,,,,,,,,,,,,
SenorSaltie,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Josephus,5,1,1040,2,0,7,7,3055,,,,,,,,,,,,,,,,,,,,,,
