Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,1,0,190,0,0,1,6,525,,,,,,,,,,,,,,,,,,,,,,
Brax,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Vex,1,0,205,1,0,1,1,525,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,525,2,1,3,5,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,1,1,245,1,0,1,4,375,,,,,,,,,,,,,,,,,,,,,,
Brax,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Vex,1,1,300,1,0,1,3,375,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,375,1,1,4,2,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,1,0,215,1,0,1,1,745,,,,,,,,,,,,,,,,,,,,,,
Brax,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Vex,1,0,215,1,1,0,4,745,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,745,4,2,4,6,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,1,1,445,2,0,2,6,320,,,,,,,,,,,,,,,,,,,,,,
Brax,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Vex,1,1,200,0,0,2,2,320,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,320,0,0,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,1,1,440,3,0,1,5,460,,,,,,,,,,,,,,,,,,,,,,
Brax,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Vex,1,1,175,0,2,2,0,460,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,460,2,1,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Stumpinator,5,3,1535,7,0,6,22,2425,,,,,,,,,,,,,,,,,,,,,,
Brax,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
