Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Opposition,5,2,3300,15,6,20,28,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,0,95,0,0,1,0,885,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,0,445,2,0,1,6,885,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,885,3,3,4,10,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,1,135,0,1,0,1,325,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,1,440,3,0,0,5,325,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,325,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,1,285,1,2,2,3,445,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,1,595,4,1,2,6,445,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,445,1,0,3,7,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,1,300,1,3,0,3,480,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,1,635,6,1,1,6,480,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,480,2,2,3,3,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,1,290,1,2,2,2,515,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,1,495,3,1,1,5,515,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,515,2,0,3,5,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,5,4,1105,3,8,5,9,2650,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Manatee,5,4,2610,18,3,5,28,2650,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,1,2650,9,5,15,26,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,305,1,1,1,5,730,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,0,330,1,1,2,5,730,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,730,3,0,6,6,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,1,305,1,1,0,5,810,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,1,525,1,0,3,3,810,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,810,1,1,5,7,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,1,175,1,1,0,1,530,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,1,425,2,0,1,4,530,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,530,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,150,1,0,0,4,695,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,0,255,2,0,1,2,695,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,695,4,1,2,8,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,1,255,1,1,2,3,595,,,,,,,,,,,,,,,,,,,,,,
Manatee,1,1,500,3,0,2,6,595,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,595,2,2,4,6,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,5,3,1190,5,4,3,18,3360,,,,,,,,,,,,,,,,,,,,,,
Manatee,5,3,2035,9,1,9,20,3360,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,2,3360,12,6,19,31,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,1,385,2,2,1,2,550,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,1,295,2,2,1,2,550,,,,,,,,,,,,,,,,,,,,,,
Manatee,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,550,3,2,1,7,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,1,420,2,1,0,4,410,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,1,205,1,0,1,2,410,,,,,,,,,,,,,,,,,,,,,,
Manatee,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,410,2,0,1,3,,,,,,,,,,,,,,,,,,,,,,,
Week 5 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
KyleTheMurphy,1,0,120,0,0,2,0,830,,,,,,,,,,,,,,,,,,,,,,
TheHamBurglar,1,0,140,0,0,1,1,830,,,,,,,,,,,,,,,,,,,,,,
