Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Bondo,1,0,215,1,0,0,2,990,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ares,1,0,120,0,0,1,1,990,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,990,6,5,2,9,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,1,0,325,1,1,3,2,740,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ares,1,0,255,2,1,1,2,740,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,740,5,2,0,11,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,1,0,230,0,0,2,4,865,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ares,1,0,70,0,0,1,0,865,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,865,5,2,3,11,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,1,0,135,0,0,1,1,835,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ares,1,0,95,0,0,1,1,835,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,835,5,4,1,6,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,1,1,305,2,0,1,2,400,,,,,,,,,,,,,,,,,,,,,,
Junior,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Ares,1,1,195,0,2,2,1,400,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,400,1,1,0,6,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,5,1,1210,4,1,7,11,3830,,,,,,,,,,,,,,,,,,,,,,
Junior,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Ares,5,1,735,2,3,6,5,3830,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,4,3830,22,14,6,43,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Bondo,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Junior,1,1,410,2,0,1,5,320,,,,,,,,,,,,,,,,,,,,,,
Ares,1,1,170,1,0,1,1,320,,,,,,,,,,,,,,,,,,,,,,
