Week 1 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,Player Totals,Played,Win,Score,Goals,Assists,Saves,Shots,Score/A,Sc/G,G/G,A/G,Sv/G,Sh/G,GA/G,ShA/G,ScA/G,ARS/G,Win%,Sh%,Sv%
Week 3 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,120,0,0,1,3,985,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,245,0,0,4,1,985,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,985,4,4,3,14,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,1,390,2,1,2,5,415,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,1,245,2,1,0,3,415,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,415,1,1,3,4,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,1,410,2,1,1,5,520,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,1,220,1,1,2,2,520,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,520,1,0,4,5,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,150,1,0,1,2,555,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,145,0,0,0,4,555,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,555,2,0,2,5,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Game 5,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,240,1,1,1,2,940,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,205,1,0,0,6,940,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,940,6,2,4,7,,,,,,,,,,,,,,,,,,,,,,,
Week 3 Totals,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,5,2,1310,6,3,6,17,3415,,,,,,,,,,,,,,,,,,,,,,
Patabread,5,2,1060,4,2,6,16,3415,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,5,3,3415,14,7,16,35,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 1,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,170,0,0,2,2,580,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,150,,,,,580,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,0,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,580,3,0,2,6,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 2,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,1,245,1,2,1,2,350,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,1,340,2,1,2,2,350,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,350,1,0,0,4,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 3,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,1,345,2,1,2,2,390,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,1,265,1,1,2,3,390,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,0,390,1,0,1,5,,,,,,,,,,,,,,,,,,,,,,,
Week 4 Game 4,Played,Win,Score,Goals,Assists,Saves,Shots,ScA,,,,,,,,,,,,,,,,,,,,,,
Capsfan,1,0,215,0,1,1,4,730,,,,,,,,,,,,,,,,,,,,,,
Patabread,1,0,300,1,0,1,6,730,,,,,,,,,,,,,,,,,,,,,,
Ravensfan,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
Opposition,1,1,730,2,0,7,4,,,,,,,,,,,,,,,,,,,,,,,
